Feature,importance
转换效率A/电流B,10
板温/平均功率,10
电压A/电流B,10
电压B*功率A,10
转换效率A-电压C,10
风速,10
电流B/风速,10
转换效率C+平均功率,10
转换效率C/功率A,10
板温/电流B,10
光照强度*电流A,10
转换效率B/电流A,10
电压A/风向,10
转换效率A/平均功率,10
功率A*风速,10
转换效率-功率A,10
电流A*风向,10
电压A*电流C,9
ID*风向,9
ID/风向,9
转换效率B*功率B,9
光照强度/电流A,9
电压C/电流C,9
光照强度*平均功率,9
ID*转换效率,9
现场温度-功率C,9
转换效率*功率C,9
电压A/功率C,9
转换效率C+风向,9
功率B/风速,9
电流C-功率A,9
现场温度/转换效率C,9
转换效率+风向,9
转换效率A/功率C,9
转换效率+功率C,9
现场温度/电流B,9
板温/电流A,9
转换效率B*电流C,9
电压B/风向,9
Unnamed: 0+功率C,9
板温*转换效率C,9
Unnamed: 0/电流B,9
现场温度+功率A,9
电压A-功率C,9
电压B+风速,9
转换效率C-电压C,9
转换效率C*电压C,9
板温/转换效率C,9
转换效率B*电流B,8
电压B*风向,8
转换效率A*电流C,8
转换效率A*功率A,8
Unnamed: 0/电流A,8
电压C/电流B,8
电压C*电流B,8
转换效率A+平均功率,8
Unnamed: 0*功率C,8
Unnamed: 0/转换效率C,8
电压C*风速,8
现场温度/光照强度,8
ID/电流A,8
转换效率B-风向,8
板温-功率B,8
板温*电流B,8
转换效率C+功率A,8
转换效率C/电流B,8
板温*转换效率B,8
板温-转换效率A,8
光照强度/转换效率A,8
板温+现场温度,8
电压B/功率C,8
电压B*功率B,8
现场温度*光照强度,7
转换效率-电压C,7
转换效率B-电压A,7
转换效率*电流B,7
板温-电压A,7
现场温度*功率C,7
光照强度*电流B,7
光照强度/功率C,7
现场温度/功率A,7
转换效率*功率B,7
风速-风向,7
板温*电流A,7
Unnamed: 0+功率B,7
转换效率A-功率C,7
现场温度/电流A,7
转换效率-平均功率,7
现场温度-电压C,7
板温/电流C,7
转换效率A-功率B,7
板温*功率A,7
现场温度-转换效率C,7
现场温度*转换效率C,7
电压A*电流A,7
转换效率A+电压B,7
