Feature,importance
Unnamed: 0*电压A**2,1
Unnamed: 0+电压A**2,0
Unnamed: 0-电压A**2,0
Unnamed: 0/电压A**1/2,0
Unnamed: 0*电压A**1/2,0
Unnamed: 0+电压A**1/2,0
Unnamed: 0-电压A**1/2,0
Unnamed: 0/电压B**2,0
Unnamed: 0*电压B**2,0
Unnamed: 0+电压B**2,2
Unnamed: 0-电压B**2,0
Unnamed: 0/电压B**1/2,0
Unnamed: 0*电压B**1/2,0
Unnamed: 0+电压B**1/2,0
Unnamed: 0-电压B**1/2,0
Unnamed: 0/电压C**2,1
Unnamed: 0*电压C**2,0
Unnamed: 0+电压C**2,1
Unnamed: 0-电压C**2,0
Unnamed: 0/电压C**1/2,0
Unnamed: 0*电压C**1/2,0
Unnamed: 0+电压C**1/2,0
Unnamed: 0-电压C**1/2,0
Unnamed: 0/电流A**2,1
Unnamed: 0*电流A**2,0
Unnamed: 0+电流A**2,0
Unnamed: 0-电流A**2,3
Unnamed: 0/电流A**1/2,1
Unnamed: 0*电流A**1/2,0
Unnamed: 0+电流A**1/2,0
Unnamed: 0-电流A**1/2,0
Unnamed: 0/电流B**2,1
Unnamed: 0*电流B**2,2
Unnamed: 0+电流B**2,0
Unnamed: 0-电流B**2,0
Unnamed: 0/电流B**1/2,0
Unnamed: 0*电流B**1/2,0
Unnamed: 0+电流B**1/2,0
Unnamed: 0-电流B**1/2,0
Unnamed: 0/电流C**2,3
Unnamed: 0*电流C**2,2
Unnamed: 0+电流C**2,0
Unnamed: 0-电流C**2,0
Unnamed: 0/电流C**1/2,1
Unnamed: 0*电流C**1/2,3
Unnamed: 0+电流C**1/2,0
Unnamed: 0-电流C**1/2,0
Unnamed: 0/功率A**2,2
Unnamed: 0*功率A**2,1
Unnamed: 0+功率A**2,2
Unnamed: 0-功率A**2,1
Unnamed: 0/功率A**1/2,0
Unnamed: 0*功率A**1/2,2
Unnamed: 0+功率A**1/2,0
Unnamed: 0-功率A**1/2,0
Unnamed: 0/功率B**2,1
Unnamed: 0*功率B**2,1
Unnamed: 0+功率B**2,1
Unnamed: 0-功率B**2,0
Unnamed: 0/功率B**1/2,0
Unnamed: 0*功率B**1/2,1
Unnamed: 0+功率B**1/2,0
Unnamed: 0-功率B**1/2,0
Unnamed: 0/功率C**2,1
Unnamed: 0*功率C**2,2
