Feature,importance
电压A+功率A,12
转换效率C-功率A,12
电压B-功率B,12
功率B*风向,12
转换效率B/电流A,11
光照强度*电流B,11
转换效率A/平均功率,11
转换效率A*电流C,11
转换效率B/电流C,11
转换效率/电流C,11
电压C*风速,11
电压A/功率B,11
电流A-功率A,11
电压C*功率C,11
板温*转换效率,11
板温-转换效率A,11
Unnamed: 0+平均功率,11
Unnamed: 0/功率C,11
电压B/功率C,11
电压B/电流B,11
现场温度-转换效率A,11
电压B*电流C,11
电压A-电压C,11
现场温度-电流C,11
Unnamed: 0+功率A,10
板温+电压C,10
Unnamed: 0/电流A,10
电流B+风向,10
转换效率C-电压C,10
电压B/风速,10
风速+风向,10
电流A+电流C,10
转换效率A-电压B,10
Unnamed: 0+功率C,10
电压B*平均功率,10
功率A-风速,10
Unnamed: 0/电流C,10
Unnamed: 0*功率A,10
光照强度/平均功率,10
Unnamed: 0-功率A,10
电流B+电流C,10
现场温度+功率A,10
电压C/功率B,10
现场温度/电流A,10
ID*电流B,10
电压A/电流C,10
功率C*风向,10
转换效率C/功率B,10
转换效率-电压C,10
转换效率B/功率C,10
转换效率*电流A,10
功率B,10
功率B*平均功率,10
ID*功率C,10
电压A/功率C,10
Unnamed: 0+功率B,10
转换效率B*功率B,9
转换效率-风速,9
板温/电流A,9
转换效率+电压A,9
电压C/风速,9
Unnamed: 0-功率C,9
现场温度-功率A,9
板温-电压A,9
现场温度-电流B,9
电压B-功率C,9
Unnamed: 0/转换效率C,9
转换效率A/功率C,9
电流B,9
电压A*功率A,9
现场温度+电流A,9
转换效率C+电流C,9
转换效率C-电流B,9
电压A*功率B,9
平均功率,9
光照强度-电压B,9
现场温度-电压A,9
风速,9
Unnamed: 0-现场温度,9
转换效率B+平均功率,9
光照强度/转换效率B,9
转换效率A+风向,9
电压B*功率A,9
光照强度*功率A,9
现场温度*转换效率B,9
光照强度/转换效率A,9
转换效率A*功率A,9
转换效率B-功率A,8
转换效率A*功率C,8
Unnamed: 0*电流B,8
转换效率A-功率A,8
Unnamed: 0-风向,8
转换效率B+功率A,8
转换效率A/电流B,8
转换效率A*电压A,8
功率C/平均功率,8
转换效率B/功率A,8
转换效率A*电流B,8
ID*电压A,8
Unnamed: 0/电流B,8
现场温度-功率C,8
转换效率B-平均功率,8
板温-转换效率C,8
光照强度/转换效率,8
现场温度/功率A,8
光照强度*转换效率A,8
光照强度*转换效率B,8
现场温度*电流A,8
现场温度*转换效率C,8
转换效率C/电流B,8
现场温度/转换效率C,8
电压A+风速,8
现场温度*转换效率,8
板温+功率A,8
板温*电流B,8
光照强度*平均功率,8
电压B+风速,8
电压B+功率B,8
转换效率A+功率A,8
ID+功率A,8
板温/转换效率A,8
ID+平均功率,8
电压A-电压B,7
板温*功率C,7
ID+功率B,7
Unnamed: 0*电流A,7
转换效率C*电流A,7
转换效率A/电压A,7
电压A*平均功率,7
功率A/功率B,7
功率B/功率C,7
现场温度+功率B,7
Unnamed: 0*电流C,7
转换效率/电压A,7
转换效率/电流B,7
转换效率C+功率A,7
转换效率A+电流A,7
转换效率C-平均功率,7
功率A/功率C,7
ID*电压B,7
板温/电流B,7
转换效率B*转换效率C,7
光照强度*功率B,7
转换效率B*电流B,7
Unnamed: 0/功率A,7
电流B*功率B,7
Unnamed: 0/功率B,7
转换效率/功率C,7
板温/电压B,7
转换效率B-电压A,7
转换效率B*电流C,7
电流A-风向,6
转换效率C+电压A,6
功率C*平均功率,6
